Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7, C8, C9",0805,9,22uF,
"C11, C12, C14, C16, C17, C18, C20, C21, C26, C27, C30, C31, C32, C33, C34, C35, C6",0603,17,100nF,
"C13, C19, C22, C28",0603,4,1uF,
"C15, C24",0603,2,10uF,
C23,CHP5R5L505R-TWV,1,5F,
"C25, C29",0603,2,12.5pF,
D1,0805,1,Diode,
FB1,0603,1,Ferrite Bead,
"J1, J2, J3",JST_VH_B2P-VH_1x02_P3.96mm_Vertical,3,POWER,
J4,JST_VH_B4P-VH-B_1x04_P3.96mm_Vertical,1,UART,
J5,PinHeader_2x03_P2.54mm_Vertical,1,DEBUG,
J6,JST_VH_B3P-VH-B_1x03_P3.96mm_Vertical,1,ADC,
L1,L_APV_ANR4020,1,1uH,
L2,L_APV_ANR4020,1,2.2uH,
"Q1, Q2, Q5, Q7",PQFN-8-EP_6x5mm_P1.27mm_Generic,4,DON60P03,
"Q3, Q4, Q6, Q8",SOT-23,4,AO3400,
R1,0805,1,100K,
"R10, R19, R2, R21, R22, R23, R29, R5, R7, R8",0603,10,100K,
"R11, R12, R13, R15, R16, R17",0603,6,4.7K,
R14,0603,1,1.15K,
"R18, R27, R4, R6",0603,4,10K,
"R20, R9",0603,2,36.5K,
"R24, R28",0603,2,200K,
"R25, R26",2512,2,100R,
R3,0603,1,732K,
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,
U1,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,1,TPS61022,
U2,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS63900,
U3,LGA-14L_2P5X3X0P83_STM,1,ASM330LHHTR,
"U4, U5",MMC5983MA_MEM,2,MMC5983MA,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32L476RGTx,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8Mhz,
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32kHz,
