Designator,Mid X,Mid Y,Rotation,Layer
C1,107.0,-100.0,180.0,top
C10,129.82528,-113.305853,330.0,top
C11,99.9,-69.8,315.0,top
C12,95.8,-113.2,270.0,top
C13,95.1,-110.6,180.0,top
C14,111.6,-112.8,270.0,top
C15,83.5,-130.2,0.0,top
C16,106.7,-126.099998,0.0,top
C17,77.0,-129.0,270.0,top
C18,83.5,-126.9,0.0,top
C19,83.5,-128.7,0.0,top
C2,106.490948,-97.377487,202.0,top
C20,95.1,-109.0,180.0,top
C21,95.1,-107.5,180.0,top
C22,95.1,-106.0,0.0,top
C23,99.0,-79.5,225.0,top
C24,123.0,-129.0,270.0,top
C25,109.1,-107.3,90.0,top
C26,118.9,-126.2,180.0,top
C27,116.5,-129.1,180.0,top
C28,116.5,-130.9,180.0,top
C29,106.7,-107.3,270.0,top
C3,101.392905,-92.834124,78.0,top
C30,117.6,-84.6,54.0,top
C31,93.0,-100.0,0.0,top
C32,107.799999,-115.1,0.0,top
C33,93.25,-116.25,90.0,top
C34,107.8,-113.600002,0.0,top
C35,94.2,-124.9,180.0,top
C4,98.607095,-92.834123,102.0,top
C5,130.368439,-94.198656,193.5,top
C6,78.613901,-86.111705,57.0,top
C7,128.820697,-103.447595,327.5,top
C8,129.865011,-101.398015,338.5,top
C9,130.8,-111.6,330.0,top
D1,128.469386,-90.031565,36.0,top
FB1,94.3,-113.2,90.0,top
J1,72.763501,-84.2750002994932,240.0,top
J2,127.236499,-84.27500070050681,120.0,top
J3,84.27499970050681,-72.763501,210.0,top
J4,71.1584630706669,-112.54065592478757,293.5,top
J5,115.505,-115.6,180.0,top
J6,84.10438623000404,-116.38068849581602,293.5,top
L1,106.875833,-92.245706,150.0,top
L2,133.646667,-108.064686,75.0,top
Q1,134.093729,-90.288146,285.6,top
Q2,69.090374,-91.717791,165.0,top
Q3,133.6,-114.0,240.0,top
Q4,78.067352,-89.772638,335.0,top
Q5,91.717791,-69.090374,105.0,top
Q6,98.2,-71.7,315.0,top
Q7,115.70476,-80.725181,54.0,top
Q8,113.628581,-86.124307,205.0,top
R1,129.619535,-92.023681,24.0,top
R10,96.2,-73.3,135.0,top
R11,98.3,-111.6,180.0,top
R12,114.0,-129.0,270.0,top
R13,86.0,-128.0,270.0,top
R14,125.764466,-110.435534,225.0,top
R15,98.3,-110.1,180.0,top
R16,112.5,-129.0,270.0,top
R17,87.5,-128.0,270.0,top
R18,88.5,-104.5,135.0,top
R19,100.3,-73.7,45.0,top
R2,75.61423,-92.544522,73.0,top
R20,127.589899,-111.598463,250.0,top
R21,119.4,-112.8,270.0,top
R22,119.4,-118.4,270.0,top
R23,110.170552,-82.927405,285.0,top
R24,93.937822,-96.5,330.0,top
R25,109.058667,-66.192596,165.0,top
R26,117.5,-69.689111,330.0,top
R27,109.507467,-89.286549,320.0,top
R28,93.238519,-98.188267,345.0,top
R29,110.986549,-87.807467,130.0,top
R3,96.5,-93.937822,120.0,top
R4,130.7,-119.8,240.0,top
R5,132.227587,-117.135712,60.0,top
R6,87.0,-106.0,135.0,top
R7,95.050253,-95.050253,135.0,top
R8,78.005002,-93.275412,253.0,top
R9,124.601543,-108.610117,200.0,top
SW1,125.6,-115.6,180.0,top
SW2,122.3,-115.6,0.0,top
U1,103.9,-94.8,330.0,top
U2,129.3,-106.9,345.0,top
U3,98.3,-107.5,270.0,top
U4,80.0,-129.000002,0.0,top
U5,120.0,-129.0,0.0,top
U6,101.0,-120.0,180.0,top
Y1,104.0,-110.0,180.0,top
Y2,107.899997,-110.000001,180.0,top
